id;street;postcode;city;region;latitude;longitude
1;Walter Streets;HDD human-resource;Port D'angelo;open-source programming digital;83793;47455
2;Friesen Courts;Soft Cambridgeshire Identity;East Elyseport;Luxembourg online programming;22688;53375
3;Eric Branch;Kyrgyz Republic;Port Danial;Borders transmitting;19127;49835
4;Eldridge Common;Steel;East Bulah;Frozen synergize withdrawal;53733;9458
5;Zemlak Junctions;copy Virgin Islands, U.S. Soft;Agustintown;haptic Corporate Applications;87389;27551
6;Hoppe Canyon;input;Lake Koleborough;open-source;95586;82842
7;Murphy Lock;Handcrafted Granite Mouse;Allanberg;parse protocol Mozambique;81610;24844
8;Nicolas Centers;Principal Borders Investment Account;Ashlynnton;compress Junction;31060;54544
9;Misael Causeway;parsing Wooden;North Johathanland;neural;49522;57838
10;Nathaniel Streets;bandwidth Wooden Florida;Sterlingbury;synthesize website;36777;49135
